park_name,region,state,park_unit,water_system_name,wsd_system_id,alternative_name,classification,pws_number,fmss_number,fmss_system_name,description,point_of_use,water_entry_point_unique_id,active,seasonal,system_type,gwudi,treatment_system_type,use_category,storage_capacity_gallons,num_storage_tanks,oph_unique_id,most_recent_oph_survey,count_level_4_5_deficiencies,failure_imminent,oph_link,source_state,wsd_source_id,source_type,source_notes,source_infrastructure,source_longitude,source_latitude,Coordinate_System,source_location_refs,confidence,supplied_from,source_name,aquifer_name,aquifer_confinement,aquifer_name_reference,pod_date,well_depth,open_interval_top,open_interval_bottom,open_interval_length,source_description_links,state_pod_database_id,usgwd_id,state_water_rights_id,state_pws_link,nps_wells_db_id,nps_springs_db_id,nps_wr_db_id,climate_change_water_resources,system_specific_ccva,db_date,db_initials,db_comments
Abraham Lincoln Birthplace National Historical Park,Southeast Region,KY,ABLI,Birthplace Water Distribution System,ABLI_WS_001,Larue County Water District,Municipal,NA,110795,Birthplace Water Distribution System,"The entirety of Abraham Lincoln Birthplace National Historic Park receives potable water from the Larue County Water District.  The Park's distribution systems are connected to the Larue County Water System at the Abraham Lincoln Birthplace, Picnic Area, and Knob Creek sites.  This system serves the Picnic Area Comfort Station, Visitor Center Comfort Station, Knob Creek Comfort Station, Knob Creek Ranger Station, Visitor Center/Park Headquarters, two staff residences, and Maintenance Shop.  The Picnic Area and Knob Creek Comfort Stations are seasonal and close between December and February."," Picnic Area Comfort Station, Visitor Center Comfort Station, Knob Creek Comfort Station, Knob Creek Ranger Station, Visitor Center/Park Headquarters, two staff residences, and Maintenance Shop",NA,yes,no,municipal,,NA,"human-drinking, human-non-drinking",NA,NA,5103,2023,0,NA,SER\ABLI\PHA\ABLI PHA 2023\ABLI PHA FY23.pdf,KY,ABLI_WS_001_01,municipal,NA,municipal connection,-85.740158,37.553308,WGS 84,Google Earth,,Larue County Water District,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.laruecountywater.com/,NA,NA,NA,NA,NA,NA,NA,,,6/4/25,CH,Complete
Abraham Lincoln Birthplace National Historical Park,Southeast Region,KY,ABLI,Knob Creek Water Dist Sys,ABLI_WS_002,NA,Non-Potable (NonPOT),NA,110802,Knob Creek Water Dist Sys,"This groundwater system consists of a water well.  No treatment or potable use is utilized with this system.  The well water is used for irrigation of a vegtable garden and toilet flushing only.  The food from this garden is not utilized for human consumption, but for interpretation use only.",Vegtable garden and toilet flushing,NA,no,no,groundwater,,NA,"human-non-drinking, irrigation",0,0,1191,2023,0,NA,SER\ABLI\PHA\ABLI PHA 2023\ABLI PHA FY23.pdf,KY,ABLI_WS_002_01,unknown groundwater,NA,well,-85.638403,37.611476,WGS 84,TN Wells,,NA,U,U,U,NA,U,U,U,U,U,NA,NA,NA,NA,NA,NA,NA,NA,,,6/4/25,CH,"Complete, could not find well or aquifer information"
Acadia National Park,Northeast Region,ME,ACAD,Bass Harbor Light Station,ACAD_WS_001,NA,Non-Public Water System (NP),NA,NA,NA,"This system consists of an outdoor well with a submersible pump. The treatment room is located in the basement of the house and consists of two pressure tanks, a water softener, radon removal system, and UV disinfection. The depth of the well is approximately 50 feet. Unsure if there is a screen at the casing bottom. There was not a screen on the pump itself it was replaced it 2022. The pump is located around 40 feet down. Reported as a newer well to NPS but the age of the system is unknown. This property was acquired by NPS from the Coast Guard around 2022. The house is used for seasonal park volunteers.",Seasonal house used by park volunteers,6513,yes,yes,groundwater,,"Softener, Radon Removal, UV disinfection",U,U,U,5939,2024,0,NA,NER\ACAD\EHSurvey\2024\ACAD PHA Report 8-1-2024.pdf,ME,ACAD_WS_001_01,shallow groundwater,NA,well,-68.3373,44.22197,WGS 84,"Buildings, Bass Harbor Lighthouse",,NA,U,U,U,NA,U,U,U,U,U,NA,NA,NA,NA,NA,NA,NA,NA,,,6/11/25,CH,"Incomplete, the PHA report doesn't specify what this source is used for besides stating that it is used by seasonal park staff, there is a nearby point in the ME Wells state database but that well was drilled in 1950 and is located in the ocean so I did not use that as this source location"
Acadia National Park,Northeast Region,ME,ACAD,Bird Camp,ACAD_WS_002,NA,Non-Public Water System (NP),98583,62740,NA,This was a non-public water system. It served a seasonal staff quarters unit. The system consisted of a well with a submersible pump and a pressure tank. The well was located outdoors. It had a sanitary well cap. The casing was raised 12 inches or more from the ground. There was no treatment for this system. This system has not been active since 2016.,Seasonal staff quarters,6327,no,yes,groundwater,,None,U,U,1,4946,2017,NA,NA,"NER\ACAD\EHSurvey\2010-2020\2017\ACAD, EHS, 7-25-17 .pdf",ME,ACAD_WS_002_01,unknown groundwater,Inactive since 2016; Bird Lab assumed to be near Bird Camp. Also called Bird House in PHS.,well,-68.0559787,44.34494513,WGS 84,"Buildings, Bird Lab / Schoodic Ranger Station",Low,NA,U,U,U,U,NA,U,U,U,U,NA,NA,U,NA,98583,U,NA,NA,,,3/6/26,LS,"Not linked to external database, ""Bird Camp"" or ""Bird House""?"
Acadia National Park,Northeast Region,ME,ACAD,Blackwoods Campground Hand Pump Well,ACAD_WS_003,NA,Non-Public Water System (NP),NA,0,NA,This is a hand pump well located in Blackwoods campground. The well is not tested or treated. It was reported to be used during winter months. The park stopped using this water system in approximately 2017.,Campground,NA,no,no,groundwater,,NA,NA,NA,NA,26,2018,NA,NA,"NER\ACAD\EHSurvey\2010-2020\2018\ACAD-SACR, EHS, 5-22-18.pdf",ME,ACAD_WS_003_01,unknown groundwater,This system has not been active since 2017 hurricanes,well,-68.21377136,44.31334479,WGS 84,Google Earth coordinates for blackwoods campground,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,6/11/25,CH,System Not in Use
Acadia National Park,Northeast Region,ME,ACAD,Brown Mountain Gatehouse,ACAD_WS_004,NA,Non-Public Water System (NP),NA,NA,NA,"This is a non-public water system. It serves a temporary staff quarters unit. The house has a kitchen, four bedrooms, one full bathroom, one half bathroom, laundry sink and a clothes washing machine. The source is a well with a submersible pump. The well is located in the basement with a pressure tank. There is no continuous disinfection treatment (e.g., chlorination) or any other type of treatment for this system.",Temporary staff quarters unit,6311,yes,no,groundwater,,NA,human-non-drinking,0,0,187,2024,2,NA,NER\ACAD\EHSurvey\2024\ACAD PHA Report 8-1-2024.pdf,ME,ACAD_WS_004_01,unknown groundwater,"Potential health hazard with no backflow device in place (DL 4)
Heavy corrosion of wellhead or well that could cause imminent failure (DL 4)",well,-68.28491,44.31146,WGS 84,"Buildings, Q-1 Brown Mountain Gatehouse - Lodge/Residence €",,NA,U,U,U,NA,U,U,U,U,U,NA,NA,NA,NA,NA,NA,NA,NA,,,6/11/25,CH,"Complete, there were four different Brown Mountain Gatehouse Buildings so I chose to use the Residence as the location but that may not be the correct building location, I could not locate this well on IRMA, USGWD or the state wells database"
Acadia National Park,Northeast Region,ME,ACAD,Cadillac Mountain,ACAD_WS_005,NA,Transient Non-Community Water System (TNC),ME0098566,62384,NA,"This system serves a public restroom. It consists of two wells, both located outdoors with submersible pumps, sanitary well caps, and well casings that were raised above ground at least 12 inches. Treatment consists of disinfection with sodium hypochlorite. The chemical feed pump was LMI Model P131-88HV, 0.42 GPH. Chlorinated water is pumped to the 10,000 gallon steel, ground level storage tank. Then treated water flows to the system by gravity and then is boosted at the restroom by a pressure tank and booster pump. Storage tank level controls activate the well pump. The chlorine feed pump is controlled by a flow switch (i.e. Dwyer Flotect). This is a seasonal system.",Public restroom,6478,yes,yes,groundwater,,Chlorination,"human-drinking, human-non-drinking",10000,1,3176,2019,0,NA,"NER\ACAD\EHSurvey\2010-2020\2019\ACAD, EHS, 5-21-19.pdf",ME,ACAD_WS_005_01,unknown groundwater,NA,well,-68.226059,44.352344,WGS 84,"Google Earth, Cadillac Mountain Summit Store",,NA,U,U,U,NA,U,U,U,U,U,https://irma.nps.gov/DataStore/DownloadFile/432236,NA,NA,NA,https://enviro.epa.gov/envirofacts/sdwis/search#water_id,NA,NA,NA,,,6/11/25,CH,"Incomplete, I could not any information on the Buildings database or usgwd or the state well database for Cadillac Mountain, the location that I used was taken from the summit trail of Cadillac Mountain on Google Earth, I found a test well record on IRMA but couldn't interpret it"
Acadia National Park,Northeast Region,ME,ACAD,Dermott House,ACAD_WS_006,NA,Non-Public Water System (NP),NA,NA,NA,System description unknown.,U,6418,yes,yes,groundwater,,U,U,U,U,5937,NA,NA,NA,NA,ME,ACAD_WS_006_01,U,No Dermott building in NPS buildings database.,U,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,6/11/25,CH,The 2024 and 2022 state that this system was not visited. This system is not mentioned in any of the older PHA reports. 
Acadia National Park,Northeast Region,ME,ACAD,Echo Lake,ACAD_WS_007,NA,Transient Non-Community Water System (TNC),ME0098572,62388,NA,"This system consists of a well with a submersible pump and sanitary well cap, located outdoors with casing raised above ground by at least 12 inches. It serves a public restroom with drinking fountain and seasonal quarters unit (1 bedroom, 1 bathroom house). Each building has a pressure tank. The well pump is activated by a pressure tank switch. Water is pumped from the well, goes to the quarters unit or the treatment room (i.e., storage closet in public restroom building) where it is disinfected with sodium hypochlorite (chemical feed pump was LMI P-121, chlorinator was operated by flow switch), passes through a 120 gallon fiberglass contact tank, and then goes on to the restroom fixtures. Note that the design and flow of the system did not provide chlorination treatment for the quarters unit.",Public restroom with drinking fountain and seasonal quarters unit ,6414,yes,yes,groundwater,,Chlorination,"human-drinking, human-non-drinking",0,0,1678,2022,1,NA,NER\ACAD\EHSurvey\2022\ACAD PHA Report 6-10-2022_Final.pdf,ME,ACAD_WS_007_01,deep groundwater,No Disinfection installed or disinfection system is not operable (DL 4),well,-68.33611,44.31528,WGS 84,ME Wells,,NA,U,U,U,NA,6/27/74,250,U,U,U,NA,NA,NA,NA,https://enviro.epa.gov/envirofacts/sdwis/search#water_id,NA,NA,NA,,,6/11/25,CH,"Complete, location appears to be slightly off as the point is within Echo Lake"
Acadia National Park,Northeast Region,ME,ACAD,Fabbri,ACAD_WS_008,NA,Transient Non-Community Water System (TNC),ME0098582,NA,NA,"This system serves a public restroom. It consists of a well located outdoors with a submersible pump sanitary well cap and well casing raised above ground at least 6-12 inches. There is a pressure tank and the well is activated by a pressure switch. Treatment consists of disinfection with sodium hypochlorite. The chemical feed pump is LMI Model P131-390SI, 0.42 GPH. There is a 270 gallon contact tank (RT-270). The chlorine feed pump is controlled by a flow switch.",Public restroom,6315,yes,no,groundwater,,Chlorination,"human-drinking, human-non-drinking",0,0,4823,2023,0,NA,NER\ACAD\EHSurvey\2023\ACAD PHA Report 6-6-2023.pdf,ME,ACAD_WS_008_01,unknown groundwater,NA,well,-68.19504,44.31425,WGS 84,"Buildings, B-284 Fabbri Memorial Restrooms",,NA,U,U,U,NA,U,U,U,U,U,NA,NA,NA,NA,https://enviro.epa.gov/envirofacts/sdwis/search#water_id,NA,NA,NA,,,6/12/25,CH,"Complete, could not locate the well on usgwd or the state database, could not find the well on IRMA, could not find well or aquifer information"
